id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
1400,Baldim,Minas Gerais,MG,3105004,baldinense,-19.290363,-43.9573864,7826,556.27,14.1
1401,Bambuí,Minas Gerais,MG,3105103,bambuiense,-20.0170955,-45.9795138,23829,1455.82,16.4
1402,Bandeira,Minas Gerais,MG,3105202,bandeirense,-15.8904533,-40.5737316,4795,483.79,9.9
1403,Bandeira do Sul,Minas Gerais,MG,3105301,bandeirante-do-sul,-21.7287997,-46.3860492,5746,47.27,121.6
1404,Barão de Cocais,Minas Gerais,MG,3105400,cocaiense,-19.941666,-43.482573,32485,340.59,95.4
1405,Barão de Monte Alto,Minas Gerais,MG,3105509,monte-altense,-21.2732082,-42.2953964,5397,198.31,27.2
1406,Barbacena,Minas Gerais,MG,3105608,barbacenense,-21.2219344,-43.7706811,137313,759.19,180.9
1407,Barra Longa,Minas Gerais,MG,3105707,barra-longuense,-20.2687434,-43.0777555,5131,383.63,13.4
1408,Barroso,Minas Gerais,MG,3105905,barrosense,-21.1880429,-43.9759925,20810,82.07,253.6
1409,Bela Vista de Minas,Minas Gerais,MG,3106002,bela-vistano,-19.7631273,-43.1165621,10255,109.14,94.0
1410,Belmiro Braga,Minas Gerais,MG,3106101,belmirense,-21.9497756,-43.4156529,3429,393.09,8.7
1411,Belo Horizonte,Minas Gerais,MG,3106200,belo-horizontino,-19.9245018,-43.9352376,2512070,331.4,7580.2
1412,Belo Oriente,Minas Gerais,MG,3106309,belo-orientino,-19.2203866,-42.4831938,26700,334.91,79.7
1413,Belo Vale,Minas Gerais,MG,3106408,belo-valense,-20.4375747,-44.0579882,7715,365.92,21.1
1414,Berilo,Minas Gerais,MG,3106507,berilense,-16.8102876,-42.5117238,11932,587.11,20.3
1415,Berizal,Minas Gerais,MG,3106655,berizalense,-15.7104832,-41.7976643,4735,488.76,9.7
1416,Bertópolis,Minas Gerais,MG,3106606,bertopolitano,-16.9642193,-40.5737316,4604,427.8,10.8
1417,Betim,Minas Gerais,MG,3106705,betinense,-19.9673078,-44.2011904,439340,343.86,1277.7
1418,Bias Fortes,Minas Gerais,MG,3106804,bias-fortense,-21.60584,-43.7717073,3379,283.54,11.9
1419,Bicas,Minas Gerais,MG,3106903,biquense,-21.7171886,-43.0628041,14494,140.08,103.5
1420,Biquinhas,Minas Gerais,MG,3107000,biquinhense,-18.7491782,-45.5629394,2515,458.95,5.5
1421,Boa Esperança,Minas Gerais,MG,3107109,esperancense,-21.0928252,-45.5629603,40127,860.67,46.6
1422,Bocaina de Minas,Minas Gerais,MG,3107208,bocainense,-22.167531,-44.3947127,5090,503.77,10.1
1423,Bocaiúva,Minas Gerais,MG,3107307,bocaiuvense,-17.1113356,-43.8203315,49979,3227.63,15.5
1424,Bom Despacho,Minas Gerais,MG,3107406,bom-despachense,-19.7405507,-45.2541849,50605,1213.55,41.7
1425,Bom Jardim de Minas,Minas Gerais,MG,3107505,bom-jardinense,-21.9483692,-44.1889854,6474,412.02,15.7
1426,Bom Jesus da Penha,Minas Gerais,MG,3107604,bom-jesuense,-21.0152664,-46.5178067,4217,208.35,20.2
1427,Bom Jesus do Amparo,Minas Gerais,MG,3107703,bom-jesuense,-19.7346409,-43.4644802,6083,195.61,31.1
1428,Bom Jesus do Galho,Minas Gerais,MG,3107802,bom-jesuense,-19.7621505,-42.2756861,14935,592.29,25.2
1429,Bom Repouso,Minas Gerais,MG,3107901,bom-repousense,-22.4645574,-46.1900242,10547,229.85,45.9
1430,Bom Sucesso,Minas Gerais,MG,3108008,bom-sucessense,-21.0350635,-44.7593214,17603,705.05,25.0
1431,Bonfim,Minas Gerais,MG,3108107,bonfinense,-20.3142689,-44.2099791,6868,301.87,22.8
1432,Bonfinópolis de Minas,Minas Gerais,MG,3108206,bonfinopolitano,-16.498147,-46.1326778,5493,1850.49,3.0
1433,Bonito de Minas,Minas Gerais,MG,3108255,bonitense,-15.059475,-44.9253354,11230,3936.46,2.9
1434,Borda da Mata,Minas Gerais,MG,3108305,borda-matense,-22.2691578,-46.1640692,19412,301.11,64.5
1435,Botelhos,Minas Gerais,MG,3108404,botelhense,-21.6425842,-46.3937919,14971,334.09,44.8
1436,Botumirim,Minas Gerais,MG,3108503,botumiriense,-16.9151805,-42.9806087,6319,1568.88,4.0
1437,Brás Pires,Minas Gerais,MG,3108701,brás-pirense,-20.8675842,-43.2328033,4333,223.35,19.4
1438,Brasilândia de Minas,Minas Gerais,MG,3108552,brasilandense,-17.0003291,-46.0085333,16538,2509.69,6.6
1439,Brasília de Minas,Minas Gerais,MG,3108602,brasilminense,-16.2131693,-44.433649,32347,1399.48,23.1
1440,Brazópolis,Minas Gerais,MG,3108909,brasopolense,-22.473871,-45.6179988,14459,367.69,39.3
1441,Braúnas,Minas Gerais,MG,3108800,braunense,-19.0576546,-42.7188384,4801,378.32,12.7
1442,Brumadinho,Minas Gerais,MG,3109006,brumadinhense,-20.1514708,-44.2010909,40103,639.43,62.7
1443,Bueno Brandão,Minas Gerais,MG,3109105,bueno-brandense,-22.4784057,-46.3432781,11001,356.15,30.9
1444,Buenópolis,Minas Gerais,MG,3109204,buenopolitano,-17.9136773,-43.981812,10365,1599.88,6.5
1445,Bugre,Minas Gerais,MG,3109253,bugrense,-19.3433398,-42.3347949,3982,161.91,24.6
1446,Buritis,Minas Gerais,MG,3109303,buritisense,-15.6236442,-46.4248613,24841,5225.19,4.8
1447,Buritizeiro,Minas Gerais,MG,3109402,buritizeirense,-17.3624766,-44.9663435,28056,7218.4,3.9
